original_path	bytes	sha256	category	reason
pretrain.sh	1041	0c7fb95b0c7d56ea1d2fe767f8cba0fea424338e78c84f4a327ca5f3d747db46	legacy_launcher	old Cora single-seed GraphCL grid superseded by the current SVD100 selection chain
pretrain_5seed.sh	1930	5b335fefe27209a6ae3debe58189a96441a39f65c3cd646084e5c837d017cb4e	legacy_launcher	old Cora five-seed GraphCL grid superseded by the current SVD100 selection chain
pretrain_citeseer_graphcl.sh	1541	1cef18e11468287f8d48a65a31e3a1d26d065ae79ad7fdb81479e8cf4140fd9d	legacy_launcher	pre-SVD Citeseer GraphCL grid no longer on the active path
pretrain_citeseer_svd1433_graphcl.sh	1759	6e884520582bfdfa2e5b88dc828de2cf84f4cc2563fc2a7b88d3bade6b46d6a9	legacy_launcher	completed SVD1433 shape-only predecessor
run_citeseer_svd1433_to_cora_rprompt_original.sh	2933	777e10a508cdb199e87c8b90360b7375fc696594a385c2df5a2aac12ce0070fb	legacy_launcher	completed SVD1433-to-Cora predecessor; retained as provenance only
run_5shot_compare.sh	4014	f62fe4ee0b30e7d346e477782925629561d7666d80965c3e357422ef75797dd5	legacy_launcher	old Cora 64D clean/Meta0.05 comparison
task.sh	958	544c482ab82a42c58757af8a7c7b2e60919a9b9aa6d50b549669daa91c958f7e	legacy_launcher	old one-off Cora-ML task command
task_muti_adaptive.sh	3020	1819efadbbdc4d7c1a3d41a0f8fd785ef69463edd836ac008f079173cbab4840	legacy_launcher	old Cora-ML adaptive task sweep
analyze_5filter_edge_detection.py	5629	fff263dd6e7ed15eeee693e6b10a096f17866cb0a5af772694fe6bfe5f36f8c2	one_off_analysis	Meeting17 edge-detection log summarizer
plot_5filter_edge_detection.py	3179	9ed9299458a7b36b467be0fd8502c83ec4cfa136c786458a324168eb24dbd881	one_off_analysis	Meeting17 edge-detection plot generator
analyze_combo_filters.py	12558	65453cfff308252c3104f497f6bb89e0a72581e71c3391204e64781b48d7dd56	one_off_analysis	Meeting15 combination-filter log summarizer
generate_meeting11_report.py	22818	3352587611e7f6991b5a2406bbeb9a7aa3e1c5b99097f60cd196fc01c353df05	one_off_report	Meeting11 legacy PDF generator with obsolete reporting conventions
generate_meeting14_report.py	32530	0dfdae3a4491530ed6da011748a11f3884cd76f50074d33de9a8f7a0d5a53f8d	one_off_report	Meeting14 legacy HTML generator with obsolete reporting conventions
zcy_edge.py	5306	20d47f0070343a1ced48ebc38071d6519075b079a50248821f8579bf13a8952c	one_off_diagnostic	early edge/graph diagnostic outside the active task path
combo_filters_midmetrics_summary.csv	17477	db0589a78bfbaa905e745c7b9327d5297d2d02a53bdc1aa5d7b1f416770de4cb	legacy_output	Meeting15 intermediate combination-filter summary
combo_filters_midmetrics_deg_sweep_summary.csv	47989	f9348750080c5dc4cf5c379b942ad86fbcbdd137c117fc6e5d55828d72ab7270	legacy_output	Meeting15 intermediate degree-sweep summary
exp_record.ipynb	12769	abe8c9c794c4cfea58d79769367f4105bdf7d7f83e2deb4221d8fd626163277f	legacy_notebook	early experiment notes outside the active path
pretrain_cora.log	28802	f36b84bc4191ca219c504ddf5177ed5a0e36a8d05441370aca58193999f2032f	legacy_output	old Cora pretraining log
run_5shot_compare.out	3447	3eb9ce6e9b21e259def28974ca79986c90a266f89d1074a10999b963229a01e2	legacy_output	old five-shot comparison output
